scenario,size,seed,accounts,events,requests,calibration,tp,fn,fp,tn,final_tau
relay,small,42,32,468,423,256,0,0,0,167,20.892545351082955
relay,small,314,32,468,428,256,0,0,0,172,20.79021656633013
split,small,42,32,471,426,256,0,0,0,170,20.383959154484856
split,small,314,32,471,431,256,0,0,0,175,20.062134690921635
benign,small,42,32,480,439,256,0,0,1,182,15.25810143023252
benign,small,314,32,480,444,256,0,0,0,188,16.693271574854823
takeover,small,42,32,460,415,256,0,0,0,159,15.244219253564873
takeover,small,314,32,460,420,256,0,0,3,161,14.150937081864067
mixed,small,42,32,691,640,256,15,6,8,355,15.707601430232405
mixed,small,314,32,691,645,256,12,9,1,367,16.91777157485504
relay,medium,42,64,1018,920,256,8,5,14,637,13.447856393935105
relay,medium,314,64,1018,929,256,10,3,14,646,14.354398763871943
split,medium,42,64,1021,923,256,11,5,14,637,13.521356393935104
split,medium,314,64,1021,932,256,13,3,13,647,14.402898763871942
benign,medium,42,64,1030,936,256,0,0,28,652,13.589856393935097
benign,medium,314,64,1030,945,256,0,0,29,660,14.471398763871935
takeover,medium,42,64,1010,912,256,4,1,13,638,13.326856393935108
takeover,medium,314,64,1010,921,256,4,1,15,645,14.233398763871946
mixed,medium,42,64,1241,1137,256,13,8,31,829,13.88935639393498
mixed,medium,314,64,1241,1146,256,13,8,31,838,14.745898763871818
relay,large,42,112,2118,1897,256,6,7,39,1589,14.361351051278294
relay,large,314,112,2118,1925,256,8,5,37,1619,15.040933841552434
split,large,42,112,2121,1900,256,9,7,39,1589,14.434851051278294
split,large,314,112,2121,1928,256,11,5,37,1619,15.114433841552433
benign,large,42,112,2130,1913,256,0,0,53,1604,14.553351051278288
benign,large,314,112,2130,1941,256,0,0,49,1636,15.132933841552425
takeover,large,42,112,2110,1889,256,4,1,39,1589,14.315351051278299
takeover,large,314,112,2110,1917,256,4,1,35,1621,14.894933841552437
mixed,large,42,112,2341,2114,256,13,8,58,1779,14.902851051278171
mixed,large,314,112,2341,2142,256,13,8,53,1812,15.457433841552309
